ticker,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,bars_held,exit_reason,regime_score
ETH-USD,LONG,2021-06-22,2021-06-30,1886.6676025390625,2164.21630859375,4.355925394807721,1191.3361088997153,0.14496343806162967,8,signal_exit,0.4013201024169249
XRP-USD,LONG,2021-06-22,2021-07-05,0.6072319746017456,0.6956530213356018,11763.530040332882,1024.817112662587,0.14346767855078035,13,signal_exit,0.4023590695814114
BTC-USD,LONG,2021-07-21,2021-07-24,29796.28515625,33593.73046875,0.6860999798165892,2561.9352638199657,0.12531949124845027,3,signal_exit,0.6865898525987069
BNB-USD,LONG,2021-07-21,2021-07-25,264.4947509765625,301.84661865234375,78.47688850472947,2886.8136465157104,0.13907847384620495,4,signal_exit,0.6882193931334872
XRP-USD,LONG,2021-07-21,2021-07-27,0.5290539860725403,0.6241739988327026,28518.1806023825,2679.761738845989,0.17761284717430148,6,signal_exit,0.404915559572097
SOL-USD,LONG,2021-12-11,2021-12-19,167.9166259765625,182.8509063720703,82.99109535669997,1210.301706662104,0.08684972544168866,8,signal_exit,0.7211599244847253
ETH-USD,LONG,2021-12-14,2021-12-22,3782.82275390625,4018.69580078125,5.084508101289489,1159.6315334181043,0.060291359959913374,8,signal_exit,0.7058264258706972
BNB-USD,LONG,2021-12-14,2021-12-24,520.6317138671875,549.0022583007812,39.41991273326616,1076.1995079281173,0.052438047345671694,10,signal_exit,0.6801163315501845
BNB-USD,LONG,2022-01-09,2022-01-13,430.25311279296875,487.0425720214844,40.548333896538274,2265.5231428919883,0.12985882468347418,4,signal_exit,0.40137920789213943
SOL-USD,LONG,2022-01-06,2022-01-21,155.10592651367188,111.96605682373047,146.72656187476133,-6368.951313218499,-0.2798535339618547,15,stop_loss,0.6156158443822068
ETH-USD,LONG,2022-01-09,2022-01-22,3091.6962890625,2405.18115234375,5.356994212881482,-3707.104355100415,-0.22382923465292776,13,stop_loss,0.40116603334915085
BNB-USD,LONG,2022-02-22,2022-03-01,356.7254638671875,395.6241149902344,48.34734596460171,1844.2724380269478,0.10693461893819754,7,signal_exit,0.41350987385883975
XRP-USD,LONG,2022-04-12,2022-04-16,0.6951689720153809,0.7856529951095581,31021.101594553533,2760.977344402771,0.12803103232444482,4,signal_exit,0.6918112974220725
BTC-USD,LONG,2022-08-20,2022-09-04,20872.841796875,19986.712890625,1.0596114793751903,-982.2476144577151,-0.044411224401474894,15,time_stop,0.6225654062702857
ETH-USD,LONG,2022-09-19,2022-09-28,1335.270751953125,1337.410888671875,16.30537020379542,-8.683342101323188,-0.00039882916711538616,9,time_stop,0.5971902666003434
SOL-USD,LONG,2022-11-09,2022-11-13,24.159435272216797,13.164528846740723,421.6050222907391,-4651.243739321782,-0.4566427263422845,4,stop_loss,0.5631298442737868
XRP-USD,LONG,2022-11-09,2022-11-24,0.40625301003456116,0.3815790116786957,50079.150130091555,-1275.1068260656912,-0.06267481039811279,15,signal_exit,0.7193241938016641
ETH-USD,LONG,2022-11-10,2022-11-25,1100.107177734375,1203.7994384765625,13.193989382125558,1337.716867809321,0.0921622512588107,15,signal_exit,0.692625999239239
XRP-USD,LONG,2022-12-17,2022-12-27,0.35191500186920166,0.3657279908657074,60150.10339809888,787.6864161606964,0.0372116730864405,10,signal_exit,0.6871153230511413
BNB-USD,LONG,2022-12-17,2022-12-27,231.2207489013672,246.5966796875,75.168915510852,1119.8750242443166,0.06443242411561904,10,time_stop,0.4095058110652172
SOL-USD,LONG,2022-12-29,2023-01-03,9.755775451660156,11.274726867675781,2191.799333467219,3283.142060226134,0.15354196302677153,5,signal_exit,0.6369762408655238
BTC-USD,LONG,2023-06-06,2023-06-07,25732.109375,27235.650390625,0.8564914062530024,1242.4035277839923,0.05637210827607774,1,signal_exit,0.4172536663149582
SOL-USD,LONG,2023-06-08,2023-06-13,18.63564682006836,15.018193244934082,1195.9773366173322,-4366.641722133827,-0.19592061657164883,5,stop_loss,0.5817267033800915
BTC-USD,LONG,2023-06-11,2023-06-17,25854.03125,26328.6796875,0.8334243856290727,352.09323860969135,0.01634041989341604,6,signal_exit,0.6886748480343632
ETH-USD,LONG,2023-06-11,2023-06-19,1752.527587890625,1737.659423828125,12.300764034688761,-225.8217446299398,-0.01047535639442641,8,time_stop,0.6924762630719244
BTC-USD,LONG,2023-08-17,2023-08-17,28699.802734375,26664.55078125,0.7470343055249119,-1561.7621007503358,-0.07284427443595642,0,stop_loss,0.7422822981632262
BNB-USD,LONG,2023-08-19,2023-08-24,216.1444854736328,218.64639282226562,97.16595804396195,200.8533522287393,0.009563586439909793,5,time_stop,0.4949765624728565
ETH-USD,LONG,2023-08-18,2023-08-25,1682.0384521484375,1652.93505859375,12.502755251531012,-405.5689641783917,-0.01928515190838637,7,time_stop,0.6963550647349412
BTC-USD,LONG,2023-08-18,2023-08-29,26636.078125,27727.392578125,0.7931867704050644,822.4958008155658,0.038930317652455644,11,time_stop,0.7203306240310219
BNB-USD,LONG,2023-10-10,2023-10-16,205.75009155273438,209.74880981445312,103.28520712493697,370.09355380799525,0.01741539618918309,6,signal_exit,0.7287017956995826
XRP-USD,LONG,2024-01-04,2024-01-10,0.5825769901275635,0.5999889969825745,36604.534497819965,594.0711281294058,0.027858019013670937,6,time_stop,0.6961596836383209
ETH-USD,LONG,2024-04-14,2024-04-23,3005.547607421875,3201.588623046875,6.486371919990888,1231.3331447676246,0.06316116202110958,9,signal_exit,0.7248121794948744
XRP-USD,LONG,2024-04-14,2024-04-23,0.4808189868927002,0.5568289756774902,34470.924729057624,2584.3659172439948,0.1559263316674113,9,signal_exit,0.6776662848707906
BTC-USD,LONG,2024-05-02,2024-05-04,58253.703125,62891.03125,0.38121033306908286,1721.6157745412163,0.07752611676779132,2,signal_exit,0.6920694216746424
ETH-USD,LONG,2024-05-12,2024-05-16,2911.658203125,3036.01416015625,7.745152470675769,917.0902185445979,0.040666958965473524,4,signal_exit,0.7110467485881423
BTC-USD,LONG,2024-06-25,2024-07-02,60266.28125,62844.41015625,0.3772367283638541,926.1230394413257,0.04073618222202403,7,signal_exit,0.5057313024169756
XRP-USD,LONG,2024-07-05,2024-07-13,0.4334479868412018,0.4747200012207031,52603.803278282736,2123.2918351301023,0.09312269895540465,8,signal_exit,0.4008714091253526
ETH-USD,LONG,2024-07-05,2024-07-14,3057.833251953125,3176.741455078125,7.495464104412681,844.5411373208174,0.03684753848039323,9,signal_exit,0.4071801859830138
BNB-USD,LONG,2024-08-06,2024-08-11,464.6269226074219,523.3178100585938,49.93323508313643,2881.294603751908,0.12419199127481666,5,signal_exit,0.596985713526626
ETH-USD,LONG,2024-08-05,2024-08-22,2686.027587890625,2630.8642578125,6.807273691454874,-411.7054235554275,-0.02251660489136081,17,signal_exit,0.400706490748108
BTC-USD,LONG,2024-09-07,2024-09-11,53949.0859375,57650.2890625,0.4450003812045333,1597.3750371232222,0.06653687801418091,4,signal_exit,0.5673662481202333
SOL-USD,LONG,2024-12-22,2025-01-02,181.2868194580078,193.87213134765625,87.51373981298883,1068.5561473666874,0.06735267889495442,11,signal_exit,0.5094107068721039
ETH-USD,LONG,2025-02-03,2025-02-17,2868.07861328125,2743.19970703125,5.6694020823306515,-739.8013241266407,-0.04549742254833945,14,time_stop,0.40026745110438605
BTC-USD,LONG,2025-02-25,2025-03-03,91437.1171875,94248.421875,0.2667690160208911,700.4338366742818,0.028715025464477763,6,signal_exit,0.6548438069697988
XRP-USD,LONG,2025-03-11,2025-03-15,2.0181939601898193,2.3564300537109375,7587.862622058312,2533.2949654192757,0.16542585900703832,4,signal_exit,0.6225485428482568
BTC-USD,LONG,2025-04-07,2025-04-10,78221.3359375,82565.9765625,0.32010876879323297,1339.2881326758643,0.05348736712759496,3,signal_exit,0.5154602456031873
SOL-USD,LONG,2025-04-07,2025-04-12,105.7120132446289,121.53269958496094,133.71838227985646,2085.1297886049983,0.14750869980517303,5,signal_exit,0.40602583758972677
BTC-USD,LONG,2025-08-26,2025-09-04,110124.1015625,111718.1484375,0.23359299880391401,320.5373933263503,0.012460529580086671,9,signal_exit,0.7177183768407139
ETH-USD,LONG,2025-09-26,2025-09-30,3868.69091796875,4217.05517578125,6.665905121409017,2268.264273971454,0.0879570167102966,4,signal_exit,0.6414509466329846
ETH-USD,LONG,2025-10-11,2025-10-13,3840.96044921875,4164.04931640625,6.799885853032129,2142.5342646018003,0.08203257013124489,2,signal_exit,0.6970575711379168
SOL-USD,LONG,2025-10-11,2025-10-14,188.63890075683594,208.36355590820312,117.94185276493968,2279.53916841045,0.10245846756505629,3,signal_exit,0.7161130874650663
XRP-USD,LONG,2025-10-11,2025-10-17,2.3587539196014404,2.294239044189453,5218.734489745621,-360.96874027485916,-0.029323901828413504,6,time_stop,0.43142184295019576
