ticker,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,bars_held,exit_reason,regime_score,layer
ETH-USD,LONG,2021-06-22,2021-06-30,1886.6676025390625,2164.21630859375,4.495351969880689,1229.468973531107,0.14496343806162965,8,signal_exit,0.4013201024169249,0
XRP-USD,LONG,2021-06-22,2021-07-05,0.6072319746017456,0.6956530213356018,12241.325312601643,1066.4417584697098,0.14346767855078033,13,signal_exit,0.4023590695814113,0
BTC-USD,LONG,2021-07-21,2021-07-24,29796.28515625,33593.73046875,0.6991496657982855,2610.6635128824737,0.12531949124845024,3,signal_exit,0.6865898525987069,0
BNB-USD,LONG,2021-07-21,2021-07-25,264.4947509765625,301.84661865234375,67.13217742498483,2469.492478656066,0.13907847384620498,4,signal_exit,0.6882193931334872,0
XRP-USD,LONG,2021-07-21,2021-07-27,0.5290539860725403,0.6241739988327026,29601.389875537672,2781.547431483123,0.17761284717430145,6,signal_exit,0.404915559572097,0
SOL-USD,LONG,2021-12-11,2021-12-19,167.9166259765625,182.8509063720703,71.80369194659282,1047.1500651254557,0.08684972544168867,8,signal_exit,0.7211599244847253,0
ETH-USD,LONG,2021-12-14,2021-12-22,3782.82275390625,4018.69580078125,4.40568072183204,1004.810335519571,0.060291359959913374,8,signal_exit,0.7058264258706972,0
BNB-USD,LONG,2021-12-14,2021-12-24,520.6317138671875,549.0022583007812,34.16575355072912,932.7561785355956,0.0524380473456717,10,signal_exit,0.6801163315501837,0
BNB-USD,LONG,2022-01-09,2022-01-13,430.2531127929687,487.0425720214844,41.902806082916726,2341.200434404722,0.12985882468347432,4,signal_exit,0.40137920789213943,0
SOL-USD,LONG,2022-01-06,2022-01-21,155.10592651367188,111.96605682373048,127.63529730178674,-5540.257905430255,-0.2798535339618546,15,stop_loss,0.6156158443822068,0
ETH-USD,LONG,2022-01-09,2022-01-22,3091.6962890625,2405.18115234375,5.569633014463746,-3854.25296047196,-0.22382923465292776,13,stop_loss,0.40116603334915085,0
BNB-USD,LONG,2022-02-22,2022-03-01,356.7254638671875,395.6241149902344,50.3328380615098,1920.0116182692088,0.10693461893819756,7,signal_exit,0.4135098738588398,0
XRP-USD,LONG,2022-04-12,2022-04-16,0.6951689720153809,0.7856529951095581,31074.180888092087,2765.701571441265,0.12803103232444485,4,signal_exit,0.6918112974220725,0
BTC-USD,LONG,2022-08-20,2022-09-04,20872.841796875,19986.712890625,1.0614245493778511,-983.9283094290536,-0.04441122440147488,15,time_stop,0.6225654062702857,0
ETH-USD,LONG,2022-09-19,2022-09-28,1335.270751953125,1337.410888671875,14.222101050854869,-7.573907693025859,-0.0003988291671153859,9,time_stop,0.5971902666003434,0
SOL-USD,LONG,2022-11-09,2022-11-13,24.159435272216797,13.164528846740724,378.1709523278276,-4172.069072733153,-0.45664272634228453,4,stop_loss,0.5631298442739332,0
XRP-USD,LONG,2022-11-09,2022-11-24,0.4062530100345611,0.3815790116786957,45260.03443983128,-1152.4033197903534,-0.06267481039811268,15,signal_exit,0.7193241938016641,0
ETH-USD,LONG,2022-11-10,2022-11-25,1100.107177734375,1203.7994384765625,11.4911398627865,1165.0677577193235,0.09216225125881068,15,signal_exit,0.692625999239239,0
XRP-USD,LONG,2022-12-17,2022-12-27,0.3519150018692016,0.3657279908657074,60028.032950836074,786.0878614169582,0.03721167308644066,10,signal_exit,0.6871153230511386,0
